Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Mahi Travels(Under ASTC),10:50,04h 05m,14:55,3.4,352,3 Seats available,Bharat Benz A/C Seater (2+2)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,ANIRUDDHA TRAVELS,11:00,05h 00m,16:00,3.0,INR 285,40 Seats available,A/C Seater Push Back (2+2)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Mahi Travels(Under ASTC),14:20,03h 20m,17:40,4.5,377,1 Seat available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,WARISPIYA TRAVELS,15:00,03h 40m,18:40,4.4,INR 360,23 Seats available,AC Seater (2+2)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,WARISPIYA TRAVELS,15:35,03h 40m,19:15,4.1,INR 360,31 Seats available,AC Seater (2+2)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,WARISPIYA TRAVELS,16:15,03h 25m,19:40,4.1,INR 360,27 Seats available,Bharat Benz A/C Seater (2+2)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Karisma Aarna,17:00,04h 30m,21:30,4.7,351,35 Seats available,A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Yatra Travels,19:00,04h 45m,23:45,3.7,438,35 Seats available,NON AC Seater/ Sleeper (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Kalpana Travels,16:50,03h 25m,20:15,4.5,351,32 Seats available,AC Seater (2+2)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Yatra Travels,20:00,05h 30m,01:30,4.6,438,20 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Pranjit Travels (Under ASTC),20:30,05h 00m,01:30,4.0,INR 450,32 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Yatra Travels,20:30,04h 30m,01:00,4.6,438,30 Seats available,NON AC Seater/ Sleeper (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Pranjit Travels (Under ASTC),20:45,05h 45m,02:30,3.0,INR 500,47 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Yatra Travels,21:00,04h 30m,01:30,3.6,438,45 Seats available,NON A/C Seater/ Sleeper (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Pranjit Travels (Under ASTC),21:15,05h 00m,02:15,3.6,INR 450,37 Seats available,Non AC Seater (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Pranjit Travels (Under ASTC),21:45,04h 15m,02:00,4.5,INR 450,30 Seats available,NON A/C Seater (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Upasana Travels (Under ASTC),11:30,04h 30m,16:00,2.2,INR 285,20 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Yatra Travels,18:00,05h 30m,23:30,2.5,438,31 Seats available,NON A/C Seater (2+1)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,Brindaban Travels,17:15,04h 00m,21:15,1.6,INR 300,35 Seats available,Non AC Seater (2+2)
https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur,DESTINY TRAVELS,17:30,05h 30m,23:00,2.1,459,32 Seats available,NON A/C Seater (2+1)
