Route_name,Route_link
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
Patna (Bihar) to Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Hazaribagh to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-muzaffarpur
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Katihar to Patna (Bihar),https://www.redbus.in/bus-tickets/katihar-to-patna
