Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,V.I.P Travels,21:40,06h 00m,03:40,3.9,INR 350,33 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Hanuman Travels,22:20,06h 40m,05:00,3.2,585,54 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,11:05,04h 25m,15:30,New,INR 400,41 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,11:35,04h 25m,16:00,New,INR 350,41 Seats available,NON A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,12:55,04h 35m,17:30,New,INR 350,41 Seats available,NON A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,14:10,04h 35m,18:45,New,INR 400,41 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,14:35,04h 25m,19:00,New,INR 350,41 Seats available,NON A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,14:50,04h 30m,19:20,New,INR 400,41 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,15:10,04h 35m,19:45,New,INR 350,41 Seats available,NON A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,15:20,04h 40m,20:00,New,INR 400,41 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,17:55,04h 25m,22:20,New,INR 350,41 Seats available,NON A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,18:10,04h 20m,22:30,New,INR 400,41 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,18:30,04h 30m,23:00,New,INR 350,41 Seats available,NON A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,18:45,04h 45m,23:30,New,INR 400,41 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,20:00,06h 00m,02:00,2.4,450,34 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,21:05,04h 25m,01:30,New,INR 400,41 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,22:15,04h 30m,02:45,New,INR 350,41 Seats available,NON A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Jai Mata Di Tour and Travels,22:40,05h 20m,04:00,2.4,405,26 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,22:40,04h 40m,03:20,New,INR 400,41 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Om Sai Ram Bus,22:55,04h 35m,03:30,New,INR 350,41 Seats available,NON A/C Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Bihar state road transport corporation (BSRTC) - 181063,21:20,04h 10m,01:30,3.6,INR 230,34 Seats available,Non AC Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Siddhi Vinayak (BSRTC U/T),12:15,04h 00m,16:15,2.6,INR 220,35 Seats available,Non AC Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Siddhi Vinayak (BSRTC U/T),15:30,04h 00m,19:30,1.8,INR 220,35 Seats available,Non AC Seater (2+2)
https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Shree Balajee Travels And Cargo,13:00,03h 30m,16:30,1.3,INR 1999,16 Seats available,NON A/C Seater/ Sleeper (2+1)
https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Shree Balajee Travels And Cargo,13:00,04h 30m,17:30,1.3,INR 1999,48 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Jai Mata Di Tour and Travels,13:53,05h 27m,19:20,1.0,360,57 Seats available,A/C Seater / Sleeper (2+2)
