Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,Himachal Pradesh Tourism Development Corporation (HPTDC) - 145607,21:00,09h 00m,06:00,5.0,INR 1000,23 Seats available,AC Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,Zingbus Plus,22:55,08h 35m,07:30,4.7,599,19 Seats available,Bharat Benz A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,Bedi Travels,23:00,09h 00m,08:00,4.6,475,23 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,AdOurBus India Limited,23:00,09h 00m,08:00,4.4,439,34 Seats available,Bharat Benz A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,Laxmi holidays,23:30,08h 30m,08:00,4.6,INR 499,31 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,Laxmi holidays,22:30,08h 50m,07:20,4.6,INR 585,37 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,Ram Dalal Holidays,23:00,08h 40m,07:40,4.5,INR 550,27 Seats available,Mercedes Multi-Axle Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,Laxmi holidays,23:25,08h 20m,07:45,4.5,INR 550,27 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,Laxmi holidays,22:50,08h 30m,07:20,4.4,INR 585,44 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,SHRI RAM TRANSPORT COMPANY,21:50,09h 20m,07:10,New,INR 2000,41 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla,City Land Travels,22:30,07h 30m,06:00,4.0,1159,25 Seats available,Volvo A/C Semi Sleeper (2+2)
