Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Orange Tours and Travels,17:30,04h 20m,21:50,3.0,INR 500,29 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Bharathi Tours & Travels,23:40,04h 20m,04:00,3.9,INR 500,18 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Sri Venkateswara Travels,23:45,06h 15m,06:00,3.6,INR 600,18 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Sri KVR Travels,23:45,05h 15m,05:00,3.8,INR 810,13 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,SAIRAJ TRAVELS,23:59,05h 31m,05:30,5.0,INR 800,8 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,YASHWANTH BUS,23:59,05h 01m,05:00,5.0,INR 500,30 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Nani’s Sai Krishna Travels,23:59,05h 01m,05:00,4.3,INR 500,25 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,BSR Tours And Travels,23:59,06h 01m,06:00,4.1,INR 780,10 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Bharathi Tours & Travels,23:59,05h 01m,05:00,3.5,INR 500,23 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,SAIRAJ TRAVELS,23:59,06h 16m,06:15,5.0,INR 670,10 Seats available,A/C Seater / Sleeper (2+1)
