Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,NueGo,12:00,05h 25m,17:25,4.1,542,12 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,NueGo,13:00,05h 45m,18:45,4.1,437,7 Seats available,Electric A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Orbit Aviation Pvt Ltd,13:30,05h 25m,18:55,3.4,524,32 Seats available,Mercedes Multi-Axle Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,AdKhurana Bus Service,22:05,06h 00m,04:05,3.8,INR 1249,45 Seats available,Volvo A/C Semi Sleeper (2+2 )
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,NueGo,14:30,05h 25m,19:55,3.8,428,28 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,NueGo,15:30,05h 05m,20:35,4.0,456,28 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,FlixBus,16:00,05h 55m,21:55,3.8,INR 266.07,17 Seats available,AC Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,City Land Travels,16:30,05h 45m,22:15,3.2,493,33 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,NueGo,16:30,05h 25m,21:55,4.1,371,29 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Holiday Appeal Private Limited,17:00,05h 15m,22:15,3.0,INR 599,24 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Laxmi holidays,17:00,05h 30m,22:30,4.7,INR 500,25 Seats available,Volvo 9600 A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Laxmi holidays,17:00,05h 40m,22:40,4.6,INR 400,30 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Ram Dalal Holidays,17:00,05h 35m,22:35,4.3,INR 499,33 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Zingbus Plus,17:20,06h 15m,23:35,4.7,434,9 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,NueGo,17:30,05h 05m,22:35,3.8,371,32 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Lavish Travels,17:40,06h 25m,00:05,3.0,554,39 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Ram Dalal Holidays,17:50,05h 28m,23:18,3.7,INR 399,26 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,IntrCity SmartBus,18:00,08h 05m,02:05,4.4,INR 514,26 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,IntrCity SmartBus,18:00,05h 30m,23:30,3.3,INR 349,37 Seats available,VE A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Laxmi holidays,18:00,05h 30m,23:30,4.2,INR 699,30 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Subh Yatri Holidays,18:00,06h 15m,00:15,3.4,629,31 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Laxmi holidays,18:00,05h 30m,23:30,4.6,INR 499,26 Seats available,Volvo 9600 A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Ram Dalal Holidays,18:30,05h 28m,23:58,3.9,INR 499,29 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,IntrCity SmartBus,18:30,05h 28m,23:58,4.7,INR 389,36 Seats available,VE A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Laxmi holidays,18:30,05h 15m,23:45,4.6,INR 500,27 Seats available,Volvo 9600 A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Laxmi holidays,18:30,05h 15m,23:45,4.5,INR 500,22 Seats available,Volvo 9600 A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Jamna Travels (Delhi),18:30,05h 29m,23:59,3.9,INR 599,24 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Zingbus Plus,18:45,05h 50m,00:35,4.7,711,22 Seats available,Volvo 9600 A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Ram Dalal Holidays,18:45,04h 40m,23:25,3.8,INR 500,38 Seats available,Bharat Benz A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Laxmi holidays,19:00,05h 15m,00:15,4.6,INR 499,36 Seats available,Volvo 9600 A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Ram Dalal Holidays,19:00,05h 30m,00:30,4.5,INR 399,33 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Laxmi holidays,19:00,04h 55m,23:55,4.6,INR 500,9 Seats available,Volvo 9600 A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Deltin Travels Pvt Ltd,19:00,05h 30m,00:30,4.2,INR 500,25 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
