Route_Link,Route_Name,Bus_names,dapartingtime,Total_duration,Boardingtime,Star_Ratings,prices,Seats_Available,Bus_typse
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,Chandigarh Transport Undertaking (CTU) - 165750,15:05,02h 45m,15:05,"4.0
41",INR 195.6,45 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,Chandigarh Transport Undertaking (CTU) - 165752,17:05,02h 45m,17:05,"4.1
56",INR 195.6,44 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,Zimindara Travels,00:30,04h 00m,00:30,4.0,INR 849,12 Seats available,AC Sleeper (2+1)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),23:30,02h 50m,23:30,3.7,INR 899,21 Seats available,VE A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,City Land Travels,00:20,02h 00m,00:20,3.5,INR 948,16 Seats available,A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,City Land Travels,01:15,03h 00m,01:15,3.5,INR 1388,28 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,Om Sidh Express,23:00,02h 40m,23:00,3.5,1093,41 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,City Land Travels,00:15,02h 45m,00:15,3.5,INR 988,38 Seats available,A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,Om Sidh Express,13:30,02h 15m,13:30,3.5,383,20 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,KN Nehra Travels,01:15,02h 25m,01:15,2.9,INR 999,32 Seats available,A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh,KN Nehra Travels,01:30,02h 40m,01:30,2.9,INR 999,32 Seats available,A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165676,15:00,05h 35m,15:00,"4.2
33",INR 414.3,43 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165689,16:05,05h 35m,16:05,"3.8
39",INR 414.3,47 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165691,16:55,05h 35m,16:55,"4.0
42",INR 414.3,41 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165693,18:05,05h 35m,18:05,"3.6
59",INR 414.3,44 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165697,19:35,05h 35m,19:35,"4.2
46",INR 414.3,47 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165709,20:05,05h 35m,20:05,"3.8
39",INR 414.3,47 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165720,21:05,05h 35m,21:05,"3.7
39",INR 414.3,47 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165722,22:05,05h 35m,22:05,"3.3
36",INR 414.3,47 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165724,22:35,05h 35m,22:35,"3.9
14",INR 414.3,47 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Chandigarh Transport Undertaking (CTU) - 165726,23:05,05h 35m,23:05,"3.7
16",INR 414.3,47 Seats available,HVAC Seater (2+3)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,RSRTC - 192348,02:00,04h 45m,02:00,"3.2
5",INR 691,30 Seats available,Super Luxury Volvo AC Seater Pushback 2+2
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,FlixBus,13:40,04h 40m,13:40,3.9,INR 616.07,28 Seats available,AC Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,14:20,05h 20m,14:20,"4.1
318",332,19 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,AdKhurana Bus Service,02:40,05h 30m,02:40,"3.8
50",INR 500,32 Seats available,Volvo A/C (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,15:30,05h 30m,15:30,"4.1
288",434,6 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,16:30,05h 30m,16:30,"3.9
12",513,6 Seats available,Electric A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,17:30,05h 30m,17:30,"3.6
341",472,20 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,18:30,05h 30m,18:30,"4.3
17",395,14 Seats available,Electric A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Laxmi holidays,19:00,06h 00m,19:00,"4.3
26",569,15 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,City Land Travels,19:00,05h 35m,19:00,"5.0
1",INR 588,23 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Laxmi holidays,19:00,05h 20m,19:00,"4.5
332",INR 499,16 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,City Land Travels,19:00,05h 00m,19:00,"3.5
115",INR 588,23 Seats available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,FlixBus,19:45,05h 20m,19:45,"4.0
2",INR 739.29,27 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,20:00,05h 30m,20:00,"3.2
358",332,27 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,21:00,05h 30m,21:00,"3.6
315",349,26 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,21:55,05h 25m,21:55,"3.4
314",349,37 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Vijay Tour and Travels,23:30,06h 30m,23:30,"3.0
45",INR 599,39 Seats available,Bharat Benz A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,22:55,05h 25m,22:55,"4.1
404",332,43 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,23:55,05h 25m,23:55,"3.9
364",332,41 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,01:20,05h 20m,01:20,"4.0
369",332,40 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Khurana Bus Service,02:40,05h 50m,02:40,"3.0
13",INR 400,29 Seats available,Volvo A/C (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,03:15,05h 15m,03:15,"3.4
20",399,36 Seats available,Electric A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,04:15,05h 15m,04:15,"4.1
313",410,28 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Zingbus Plus,05:10,05h 50m,05:10,4.5,INR 623,33 Seats available,Bharat Benz A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Laxmi holidays,04:30,04h 55m,04:30,"4.7
308",664,38 Seats available,Scania Multi-Axle AC Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,Laxmi holidays,04:45,05h 05m,04:45,"4.7
458",504,16 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi,NueGo,05:00,05h 15m,05:00,"3.5
27",395,37 Seats available,Electric A/C Seater/Sleeper (2+1)
