Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,MMK Travels,22:30,09h 00m,07:30,4.3,INR 750,28 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,ESTEEM TOURS & TRAVELS,21:00,09h 55m,06:55,4.5,720,5 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,SKS Tours & Travels,21:15,08h 30m,05:45,4.4,INR 899,14 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,DLT BUS,22:30,09h 00m,07:30,4.3,INR 1099,17 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Highline Transports,21:40,09h 00m,06:40,4.5,INR 819,18 Seats available,VE A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,NS Transports,22:45,08h 30m,07:15,4.2,INR 949,17 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,NS Transports,22:15,08h 15m,06:30,4.1,INR 649,15 Seats available,NON A/C Semi Sleeper / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,SAAM BUS,21:45,09h 00m,06:45,4.1,INR 850,17 Seats available,VE A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,National travels and logistics,22:30,08h 45m,07:15,4.0,799,10 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,PADIKKAL TRAVELS PRIVATE LIMITED,21:15,08h 40m,05:55,New,900,4 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kottamala Tour And Travels,14:15,09h 15m,23:30,New,959,35 Seats available,A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,National travels and logistics,22:45,07h 45m,06:30,3.9,649,19 Seats available,NON A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,NS Transports,21:45,08h 25m,06:10,3.8,INR 649,10 Seats available,NON A/C Semi Sleeper / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Silver Line Travels,22:15,08h 30m,06:45,3.6,INR 650,20 Seats available,NON A/C Semi Sleeper / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Sam Tourist,22:05,09h 00m,07:05,3.3,INR 599,32 Seats available,NON AC Seater / Sleeper 2+1
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kyros Connect,23:00,10h 00m,09:00,3.7,INR 599,36 Seats available,Bharat Benz A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,SAAM BUS,21:45,08h 20m,06:05,3.9,INR 700,21 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Skylite Travels,22:00,08h 30m,06:30,4.2,INR 800,15 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kallada Travels (Suresh Kallada),22:00,09h 05m,07:05,3.7,INR 999,28 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Kalpaka Travels,22:15,07h 55m,06:10,3.9,INR 650,26 Seats available,NON A/C Seater/ Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,P K Travels,18:45,11h 15m,06:00,3.7,INR 600,29 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,SKS Tourist Corporation (REGD),21:30,08h 30m,06:00,3.5,INR 599,18 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,DA Transports,21:45,09h 10m,06:55,3.1,INR 849,18 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Galaxy Tours,21:30,09h 00m,06:30,3.3,INR 649,15 Seats available,A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,A1 Travels,21:00,09h 45m,06:45,3.3,INR 500,42 Seats available,NON A/C Seater / Sleeper (3+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,A1 Travels,22:30,08h 00m,06:30,2.7,INR 600,30 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,A1 Travels,21:45,09h 15m,07:00,2.8,INR 600,27 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,P K Travels,22:00,08h 00m,06:00,3.8,INR 850,16 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Suraj Holidays,20:30,09h 30m,06:00,2.6,INR 649,20 Seats available,NON A/C Seater/ Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,A1 Travels,21:15,10h 00m,07:15,2.1,INR 1400,39 Seats available,A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,P K Travels,21:30,08h 30m,06:00,3.3,INR 700,25 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,SAAM BUS,21:45,08h 25m,06:10,4.0,INR 900,14 Seats available,VE A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,National travels and logistics,23:00,07h 45m,06:45,3.0,599,10 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,PADIKKAL TRAVELS PRIVATE LIMITED,21:15,08h 40m,05:55,3.3,810,11 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,CITI TOURS,18:30,09h 30m,04:00,2.8,INR 750,31 Seats available,VE A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode,Suraj Holidays,21:45,09h 00m,06:45,3.4,INR 900,21 Seats available,VE A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,A1 Travels,21:00,04h 30m,01:30,3.9,INR 750,1 Seat available,NON A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,CITI TOURS,22:30,05h 00m,03:30,3.4,INR 949,13 Seats available,Bharat Benz A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,CGR Tranz,23:40,05h 35m,05:15,3.4,INR 700,30 Seats available,A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,UFO Bus,23:55,05h 35m,05:30,4.0,INR 799,3 Seats available,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,UFO Bus,23:55,05h 35m,05:30,4.3,INR 699,3 Seats available,A/C Seater Push Back (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,SONIA LUXURY LINES,23:59,04h 16m,04:15,New,INR 799,1 Seat available,VE A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Ameyazz Travel lounge,23:59,06h 21m,06:20,New,INR 800,15 Seats available,AC Seater (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Cochin Bus,23:59,05h 31m,05:30,4.4,INR 900,1 Seat available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Sona Travels,23:59,05h 31m,05:30,3.2,INR 750,36 Seats available,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,UFO Bus,00:20,05h 10m,05:30,4.3,INR 799,1 Seat available,Volvo A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Holy Maria Travels,23:30,04h 00m,03:30,2.5,INR 600,9 Seats available,A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Kalpaka Travels 1,23:59,05h 01m,05:00,2.6,INR 700,2 Seats available,A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Galaxy Tours,21:45,04h 15m,02:00,3.2,INR 1049,15 Seats available,2+1 Air Suspension A/C Seater / Sleeper
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,BLM Transports,22:00,04h 45m,02:45,4.1,1152,7 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,EMERALD TRAVELS,22:10,04h 30m,02:40,3.0,INR 2000,2 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Madhavi Travels,22:20,04h 15m,02:35,3.5,INR 1999,1 Seat available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Galaxy Tours,22:30,04h 15m,02:45,3.7,INR 1100,42 Seats available,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,CITI TOURS,22:45,04h 15m,03:00,4.5,INR 1000,7 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,EMERALD TRAVELS,23:00,03h 30m,02:30,3.0,INR 1100,31 Seats available,Bharat Benz A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,LIYAS TOURS,23:15,04h 00m,03:15,3.8,1849,2 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Jacobs Travels,23:15,04h 45m,04:00,3.3,INR 1199,14 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Madhavi Travels,23:40,05h 20m,05:00,3.9,INR 1099,6 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Arya Travels,23:59,05h 31m,05:30,4.3,INR 1245,9 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Madhavi Travels,23:59,05h 23m,05:22,3.5,INR 999,11 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Crownline Travels,01:30,03h 59m,05:29,4.0,INR 1350,18 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KP Travels,22:30,04h 30m,03:00,2.7,INR 1299,16 Seats available,Bharat Benz A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,KP Travels,22:30,04h 30m,03:00,2.7,INR 1699,2 Seats available,Volvo A/C Semi Sleeper (2+2 )
https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam,Madhavi Travels,23:30,03h 40m,03:10,2.7,INR 1499,11 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,KSRTC (Kerala) - 72,19:05,09h 20m,04:25,3.5,INR 1242,1 Seat available,SWIFT-GARUDA A/C SEATER BUS
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,DLT BUS,21:45,08h 45m,06:30,4.5,INR 1799,15 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,MMK Travels,21:30,08h 30m,06:00,4.3,INR 1100,3 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,AdFAST LINE BUS,21:15,09h 00m,06:15,4.4,1169,8 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,ESTEEM TOURS & TRAVELS,20:05,09h 55m,06:00,4.5,1350,2 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,SKS Tours & Travels,21:00,09h 00m,06:00,4.2,INR 1499,11 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Kyros Connect,12:15,09h 30m,21:45,4.2,INR 1000,20 Seats available,Bharat Benz A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,NS Transports,20:00,09h 00m,05:00,4.1,1399,4 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Highline Transports,21:45,09h 55m,07:40,4.1,INR 1248,18 Seats available,VE A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,NS Transports,20:30,08h 35m,05:05,3.9,999,3 Seats available,NON A/C Semi Sleeper / Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,NS Transports,19:30,09h 00m,04:30,3.8,INR 949,11 Seats available,NON A/C Semi Sleeper / Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,SAAM BUS,20:30,09h 45m,06:15,3.8,INR 1400,2 Seats available,VE A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,National travels and logistics,20:45,09h 30m,06:15,3.9,950,9 Seats available,NON A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,National travels and logistics,21:00,09h 15m,06:15,3.8,INR 1290,7 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,SAAM BUS,21:15,09h 00m,06:15,3.8,INR 1450,2 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,P K Travels,21:00,09h 00m,06:00,4.0,INR 1000,3 Seats available,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore,Suraj Holidays,21:45,09h 15m,07:00,3.4,INR 1600,19 Seats available,VE A/C Sleeper (2+1)
