Route_Link,Route_Name,Bus_names,dapartingtime,Total_duration,Boardingtime,Star_Ratings,prices,Seats_Available,Bus_typse
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU (Punjab) - 67123,19:55,06h 10m,19:55,"3.1
35",INR 873,34 Seats available,Volvo AC Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU (Punjab) - 67166,22:50,06h 00m,22:50,"4.3
7",INR 873,39 Seats available,Volvo AC Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU (Punjab) - 67132,23:40,06h 00m,23:40,"3.6
10",INR 873,39 Seats available,Volvo AC Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,PEPSU (Punjab) - 67121,04:50,07h 00m,04:50,"4.0
4",INR 873,39 Seats available,Volvo AC Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Laxmi holidays,05:00,06h 40m,05:00,"4.6
331",INR 414,28 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Laxmi holidays,06:40,07h 00m,06:40,"4.5
403",555,26 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Yolo Bus,04:44,05h 39m,04:44,"4.7
380",INR 600,25 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Laxmi holidays,06:00,07h 00m,06:00,"4.4
341",542,35 Seats available,VE A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Yolo Bus,05:01,06h 30m,05:01,"4.1
97",INR 450,24 Seats available,VE A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,IntrCity SmartBus,06:00,07h 45m,06:00,"4.5
91",INR 421,30 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Laxmi holidays,06:30,07h 00m,06:30,"4.4
280",570,29 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Zingbus Plus,04:55,06h 50m,04:55,"4.7
42",INR 510,27 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Golden Temple Express Volvo,05:21,06h 16m,05:21,"4.1
97",INR 699,31 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,IntrCity SmartBus,06:10,07h 10m,06:10,"4.7
119",INR 427,28 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,IntrCity SmartBus,04:10,07h 40m,04:10,"4.3
164",INR 427,33 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Golden Temple Express Volvo,05:35,06h 22m,05:35,"4.0
66",INR 599,1 Seat available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,IntrCity SmartBus,06:25,06h 55m,06:25,4.5,INR 405,31 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Zingbus Plus,02:55,06h 55m,02:55,"4.6
74",INR 1054,28 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Golden Temple Express Volvo,05:45,06h 20m,05:45,"4.0
45",INR 649,28 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,IntrCity SmartBus,05:45,06h 25m,05:45,"4.5
16",INR 451,33 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,FlixBus,04:15,06h 30m,04:15,"5.0
1",INR 845.54,13 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Golden Temple Express Volvo,05:11,06h 06m,05:11,"4.1
10",INR 699,27 Seats available,Volvo Multi-Axle A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,FlixBus,05:50,06h 50m,05:50,"4.9
5",INR 683.93,14 Seats available,Bharat Benz A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,IntrCity SmartBus,04:30,07h 30m,04:30,"4.7
68",INR 493,32 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Yolo Bus,05:44,05h 54m,05:44,4.6,INR 450,28 Seats available,VE A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Zingbus Plus,04:10,06h 35m,04:10,"4.9
16",INR 1006,25 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,ADTC tour and Travels,04:00,05h 20m,04:00,"4.0
1",INR 444,22 Seats available,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,IntrCity SmartBus,06:05,07h 35m,06:05,"4.2
18",INR 493,19 Seats available,VE A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,K.S Travels,05:45,06h 45m,05:45,4.0,INR 700,38 Seats available,A/C Semi Sleeper / Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,NueGo,19:25,06h 25m,19:25,"3.5
228",379,23 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Banjara Satguru Travels,05:05,06h 00m,05:05,"3.6
11",586,31 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,NueGo,17:25,06h 25m,17:25,"3.9
237",379,10 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,NueGo,06:15,06h 25m,06:15,"3.2
230",401,26 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Golden Temple Volvo Bus Service,05:00,05h 20m,05:00,"3.1
45",561,47 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,New Navyug Travels,04:30,05h 45m,04:30,"3.5
50",INR 625,34 Seats available,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Travel Point World LLP,04:00,05h 45m,04:00,"3.0
1",612,28 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,NueGo,00:25,06h 25m,00:25,"3.1
152",379,37 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,NueGo,04:40,06h 40m,04:40,"3.5
3",475,35 Seats available,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,Banjara Satguru Travels,05:05,05h 30m,05:05,"3.4
11",586,33 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/delhi-to-ludhiana,Delhi to Ludhiana,ADTC tour and Travels,04:00,05h 35m,04:00,"3.2
5",INR 600,34 Seats available,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2)
