Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Shyamoli Paribahan Pvt Ltd,23:30,05h 00m,04:30,4.5,INR 500,34 Seats available,VE A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Express Line,09:20,02h 35m,11:55,4.2,INR 299,25 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Express Line,23:45,05h 00m,04:45,4.2,INR 449,49 Seats available,VE A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,AdSANTOSH BUS SERVICE,23:59,05h 06m,05:05,4.3,INR 499,49 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Mayuri Express,23:15,05h 15m,04:30,4.1,INR 300,29 Seats available,AC Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Parameswar Travels,23:45,05h 15m,05:00,3.7,238,56 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Sagufta Travels(Maa chandi),00:40,04h 30m,05:10,4.4,INR 365,18 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Parameswar Travels,23:59,05h 01m,05:00,3.6,238,53 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Parameswar Travels,13:10,04h 46m,17:56,3.8,238,51 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Parameswar Travels,09:30,02h 45m,12:15,3.1,238,32 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Parameswar Travels,23:55,05h 05m,05:00,3.4,238,56 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Sagufta Travels (Mayuri),23:15,04h 45m,04:00,4.5,INR 365,20 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Bhorpet Travels,23:50,04h 10m,04:00,4.6,INR 500,32 Seats available,A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Sagufta Travels(Sonamoni),11:20,05h 00m,16:20,3.5,INR 315,18 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Parameswar Travels,21:50,05h 55m,03:45,3.9,238,56 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Basu Travels,23:30,05h 00m,04:30,3.6,INR 399,20 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Sagufta Travels (Atithi),23:59,05h 01m,05:00,3.0,INR 315,36 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Sagufta Travels (Maity),00:55,04h 55m,05:50,3.2,INR 415,30 Seats available,A/C Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,Mayuri Express,18:20,04h 30m,22:50,2.6,INR 440,61 Seats available,A/C Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha,SANTOSH BUS SERVICE,15:55,05h 15m,21:10,3.5,INR 370,34 Seats available,AC Seater (2+3)
