Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,FRESHBUS,12:00,07h 10m,19:10,4.8,355,32,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,FRESHBUS,12:40,07h 00m,19:40,4.7,355,36,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,IntrCity SmartBus,23:10,07h 05m,06:15,4.6,449,32,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,AdYolo Bus,22:46,06h 38m,05:24,3.6,1760,44,A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,FRESHBUS,10:15,07h 10m,17:25,4.7,355,8,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,FRESHBUS,16:35,07h 30m,00:05,4.7,341,41,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,FRESHBUS,22:35,06h 50m,05:25,4.6,413,20,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,AdZingbus Plus,21:55,07h 50m,05:45,4.0,403,34,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,FRESHBUS,11:10,07h 05m,18:15,4.6,355,33,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,FRESHBUS,23:40,06h 50m,06:30,4.5,395,26,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,FRESHBUS,23:59,06h 31m,06:30,4.4,395,35,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Sri Durga Malleswari Travels,23:10,06h 15m,05:25,4.4,630,3,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,IntrCity SmartBus,23:45,06h 25m,06:10,4.6,519,25,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,IntrCity SmartBus,23:30,07h 20m,06:50,4.6,689,21,AC Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,21:30,07h 15m,04:45,4.5,332,18,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,IntrCity SmartBus,23:05,06h 55m,06:00,4.4,459,32,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,IntrCity SmartBus,00:01,05h 44m,05:45,4.5,759,22,AC Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,IntrCity SmartBus,23:45,06h 45m,06:30,4.6,449,25,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,16:00,07h 00m,23:00,4.4,332,13,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,IntrCity SmartBus,23:25,06h 45m,06:10,4.4,729,21,Scania AC Multi Axle Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Sri Sanvi Tours and Travels,23:12,05h 41m,04:53,4.4,989,20,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,22:00,07h 10m,05:10,4.3,479,15,Electric A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Sri Durga Malleswari Travels,23:10,05h 25m,04:35,4.2,675,14,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Sri KVR Travels,23:35,05h 50m,05:25,4.4,789,26,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Sri Durga Malleswari Travels,21:00,07h 40m,04:40,4.2,450,6,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,23:30,07h 10m,06:40,4.2,660,13,Electric A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,10:00,06h 50m,16:50,4.2,332,9,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,22:30,07h 05m,05:35,4.1,332,22,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,IntrCity SmartBus,22:45,07h 10m,05:55,4.2,689,16,AC Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Zingbus Plus,15:55,07h 50m,23:45,4.3,1264,26,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,13:30,07h 05m,20:35,4.1,332,22,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Svkdt travels,23:35,06h 15m,05:50,4.1,589,18,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,IntrCity SmartBus,23:59,06h 26m,06:25,4.1,699,25,Scania AC Multi Axle Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Vikram Travels,23:15,06h 10m,05:25,4.3,584,24,VE A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,12:00,06h 50m,18:50,4.1,332,6,Electric A/C Seater (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,22:35,07h 05m,05:40,4.1,369,16,Electric A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Zingbus Plus,23:10,06h 45m,05:55,4.0,404,29,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,09:55,07h 15m,17:10,4.3,400,12,Electric A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Svkdt travels,23:35,05h 55m,05:30,4.1,449,12,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Sri KVR Travels,23:05,05h 15m,04:20,4.2,444,34,Non A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,23:00,07h 00m,06:00,4.0,514,11,Electric A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,10:30,07h 00m,17:30,4.0,332,6,Electric A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,23:15,07h 20m,06:35,4.1,404,17,Electric A/C Semi Sleeper (2+2)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Tirumala Travels,20:30,08h 00m,04:30,4.5,665,15,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Yolo Bus,00:10,04h 50m,05:00,3.8,400,36,Bharat Benz A/C Seater /Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,V Kaveri Travels,23:00,05h 15m,04:15,4.1,600,22,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Sri Sanvi Tours and Travels,23:25,05h 45m,05:10,4.7,989,22,A/C Sleeper (2+1)
https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,NueGo,22:30,07h 30m,06:00,3.7,332,20,Electric A/C Seater (2+2)
